ACCOUNT,PARENT,ALIAS:_DEFAULT,'STORE',AGGREGATION_(EPBCS)
OFS_Total Salary,OFS_Total Compensation,null,Store,null
OFS_Long Term Notes Receivable,OFS_Asset Accounts,null,Store,null
OFS_Long Term Notes Receivable,OFS_Non Current Assets,null,Store,null
OFS_Computer Software,OFS_Capex FinStmt Integration,null,Store,null
OFS_Computer Software,OFS_Fixed Asset Accounts,null,Store,null
OFS_Computer Software,OFS_Fixed Assets,null,Store,null
OFS_Notes Payable,OFS_Liability Accounts,null,Store,null
OFS_Notes Payable,OFS_Short Term Borrowings,null,Store,null
OFS_Capitalized Lease Obligation,OFS_Capex FinStmt Integration,null,Store,null
OFS_Capitalized Lease Obligation,OFS_Liability Accounts,null,Store,null
OFS_Capitalized Lease Obligation,OFS_Total Non Current Liabilities,null,Store,null
OFS_Additional Paid-In Capital - Common,OFS_Equity Accounts,null,Store,null
OFS_Additional Paid-In Capital - Common,OFS_Total Preferred and Common Stock,null,Store,null
OFS_Dividends,OFS_Equity,null,Store,null
OFS_Dividends,OFS_Equity Accounts,null,Store,null
OFS_Dividends,OFS_Total Retained Earnings,null,Store,null
OFS_Total Assets,OFS_Balance Sheet,null,Store,null
License and Support,Total IT Expenses,License & Support,Store,+
OFS_Total Office Expense,OFS_Total Other Expenses,null,Store,null
OFS_Operating Expense/Headcount,OFS_Expense KPIs,null,Store,null
Contract Start Date,Detail Planning,<none>,Store,+
Contract End Date,Detail Planning,<none>,Store,+
Solution Category,Detail Planning,<none>,Store,+
License Count,Detail Planning,<none>,Store,+
OFS_Net Income,OFS_Cash Flow from Operating Activities,null,Store,null
OFS_Net Income,OFS_Income Statement,null,Store,null
OFS_Balance Sheet Drivers,OFS_Balance Sheet Planning,null,Store,null
OFS_Return on Net Assets,OFS_Balance Sheet KPIs,null,Store,null
OFS_Current Ratio,OFS_Balance Sheet KPIs,null,Store,null
OFS_Quick Ratio,OFS_Balance Sheet KPIs,null,Store,null
OWP_Pay Type,OWP_Dynamic Properties,null,Store,null
OWP_Pay Type,OWP_Workforce Planning Accounts for Forms,null,Store,null
OWP_Performance,OWP_Dynamic Properties,null,Store,null
OWP_Performance,OWP_Workforce Planning Accounts for Forms,null,Store,null
OWP_Applicable Union Code,OWP_Dynamic Properties,null,Store,null
OWP_Applicable Union Code,OWP_Workforce Planning Accounts for Forms,null,Store,null
OWP_Annual Salary,OWP_Compensation Assumptions,null,Store,null
OWP_Total Regular Headcount,OWP_Total Headcount,null,Store,null
OWP_Departed Headcount,OWP_Total Regular Headcount,null,Store,null
OWP_No Tier,OWP_Tiers,null,Store,null
OWP_Options,OWP_Workforce Planning Assumptions,null,Store,null
Medical,OWP_Options,<none>,Store,+
Option 1,OWP_Options,<none>,Store,+
OWP_Start Date,OWP_Workforce Planning Accounts for VC,null,Store,null
OWP_Start Date,OWP_Employee Properties,null,Store,null
OFS_Repayments of Borrowings,OFS_Common Method Accounts,null,Store,null
OFS_Repayments of Borrowings,OFS_Net Cash from Financing Activities,null,Store,null
