Account|Parent|Alias: Default|Data Storage|Aggregation (EPBCS)
Reduction - B Base limits|Borrowing Base|null|never share|+
Reduction - B Base in excess of total loan amount|Total Borrowing Base Adjustments|null|dynamic calc|+
Adjust for Normalized Liquidity|Normalized Projected Availability - B Base Only|null|never share|+
Sold Houses Under Construction|Balance Sheet Input|null|dynamic calc|+
Flat Fee Sales Commission|Community Information Annual|Flat Fee Sales Comm|never share|+
A25050|Accounts Payable & Accrued Expenses|25050-Federal Payroll Tax Withheld|never share|+
Completion & Service Reserves|Total Liabilities|null|dynamic calc|+
A24010|Customer Deposits|24010-Customer Deposits - other|never share|+
A26680|Bridge Loan|26680-N/P - Other|never share|+
ROU Assets|Balance Sheet|null|never share|+
Net Income|Income Statement|null|dynamic calc|+
A43200|Revenue|43200-Sales - Dup/Villas - Incentive|never share|+
A43270|Revenue|43270-Sales - 2o2 - Incentive|never share|+
A13941|Inventory|13941-WIP Accrual|dynamic calc|+
A14102|Inventory|14102-Developed Lots Trnsfrd to Homebldg|never share|+
A14102|Total Inventory|14102-Developed Lots Trnsfrd to Homebldg|shared|+
Inv Adj/Impairments|Inventory|null|never share|~
Inv Adj/Impairments|Total Inventory|null|shared|~
A10100|Cash|10100-Checking - CERIDIAN Payroll|never share|+
A10620|Escrow Deposits|10620-Escrow Bank Account|never share|+
A12020|Prepaid Expenses & Other Assets|12020-Due To/From - DRB Enterprises|never share|+
A12460|Prepaid Expenses & Other Assets|12460-Due To/From DRB Eastern Shore LLC|never share|+
A12495|Prepaid Expenses & Other Assets|12495-Due To/From DDDRB Investments LLC|never share|+
A15155|Prepaid Expenses & Other Assets|15155-Sales System Receivables|never share|+
Total Liabilities and Equity|Balance Sheet|null|dynamic calc|+
A20011|Accounts Payable & Accrued Expenses|20011-Knight Acquisition - Indemnity Holdback|never share|+
A63550|Sales & Marketing|63550-Model Moving & Storage|never share|+
A65200|Sales & Marketing|65200-Sales Equipment|never share|+
A67050|Sales & Marketing|67050-Spec House Maintenance|never share|+
A67150|Sales & Marketing|67150-Spec Lot Maintenance|never share|+
A67350|Sales & Marketing|67350-Entry Monuments/Signs|never share|+
A68050|Sales & Marketing|68050-Training & Seminars|never share|+
A68400|Sales & Marketing|68400-Corp Branding - Digital|never share|+
A73550|Production Expenses|73550-Dumpsters|never share|+
A75100|Production Expenses|75100-Production Travel|never share|+
A75300|Production Expenses|75300-Production Business Entertainment|never share|+
A73050|Production Expenses|73050-Capitalized  Prod OH Amort|never share|+
A77100|Warranty Service Expenses|77100-Warranty - Salaries|never share|+
A93100|Misc|93100-Miscellaneous Income|never share|+
A93600|Misc|93600-Manufacturer's Rebates|never share|+
A94050|Misc|94050-Corporate Overhead Allocation|never share|+
A94100|Misc|94100-Other Expense|never share|+
A93350|Investment|93350-Investment Income - DDDRB|never share|+
Total Units|Income Statement|null|dynamic calc|~
A99200|Total Units Started|99200-Units Started - SF|never share|+
A99325|Total Fee Build Units|99325-Units Started - FB|never share|~
Keystone|Account|null|label only|+
A49700|Total Title Policy Income|49700-NC Title Policy Income|never share|+
A89110|TOTAL EXPENSES|89110-Payroll  Burden (13%)|dynamic calc|+
A77800|Warranty Service Expenses|77800-Warranty Service Supplies|never share|+
A80700|General & Administrative Expenses|80700-Group Insurance|never share|+
A81150|General & Administrative Expenses|81150-Employee Referral Bonus|never share|+
A81250|General & Administrative Expenses|81250-Help Wanted|never share|+
A81850|General & Administrative Expenses|81850-Furniture & Fix. Exp <$1,000|never share|+
A84100|General & Administrative Expenses|84100-Bank Fees|never share|+
A85100|General & Administrative Expenses|85100-In-House Training|never share|+
A51510|Cost of Sales|51510-Site Cost of Sales - TH|never share|+
A52400|Cost of Sales|52400-House Cost of Sales - DX|never share|+
A53200|Cost of Sales|53200-Lot Cost of Sales - Developed Lots - 2o2|never share|+
A53300|Cost of Sales|53300-Lot Market Value Adjustment - 2o2|never share|+
Total Operating Expenses|Net Income|null|dynamic calc|-
A62350|Sales & Marketing|62350-Sales Promotion - DRB Website|never share|+
House Starts|Lot Inventory|null|dynamic calc|+
Beginning Lot Inventory|Lot Inventory|null|never share|+
Beginning Lots Ahead (Behind)|Lot Inventory|null|never share|+
Sold, Under Construction|Total Sales|null|shared|+
Sold, Under Construction|Inventory|null|never share|+
Sold, Not Started|Inventory|null|never share|+
Sold, Not Started|Total Sales|null|shared|+
Small SF DRB Bonus|Production Bonus|null|never share|+
A14100|Inventory|14100-Cost of Land and Land Development|never share|+
A14100|Total Inventory|14100-Cost of Land and Land Development|shared|+
Community Status|Community Information|null|never share|+
Cycle Time|Community Information|null|never share|+
A24000|Community Information|24000-Customer Deposits|shared|+
A24000|Customer Deposits|24000-Customer Deposits|never share|+
Approved - LD|SmartList_Counts|Approved by Land Committee  - Land Development|never share|+
Incentive|Total Sales Price|null|never share|+
Site Costs|Total WIP Inventory|null|never share|+
Gross Margin %|Community Gross Margin|null|dynamic calc|+
Revised GM %|Community Gross Margin|null|never share|+
FICA|Payroll Burden|null|never share|+
Sales MGT Monthly Salary|Total Sales Salaries|null|never share|+
Sales On Line|Total Sales Salaries|null|never share|+
Warranty Mgr|Total Warranty Salaries|null|never share|+
Total GA Headcount|Total Comm, Salary|Total G&A Headcount|dynamic calc|+
Purchasing|Total GA Headcount|null|never share|+
Project Mgt|Total Production Salaries|null|never share|+
WV Capture|Total Capture|null|never share|+
Lot Inventory|Units Input|null|never share|+
Contractual Obligation|Lot Inventory|null|never share|+
Land Acq Budget CTC|Land Development|null|never share|+
Letters of Credit - Financial|Land Development|null|never share|+
Corporate Guarantee|Land Development|null|never share|+
Bonds - Warranty|Land Development|null|never share|+
Projected Borrowing Base|Projected Availability - B Base Only|null|dynamic calc|+
Bank Line|Balance Sheet Input|null|never share|+
A25375|Accounts Payable & Accrued Expenses|25375-401K & FlexPlan Withheld|never share|+
Bank Loans|Total Liabilities|null|dynamic calc|+
A26400|Bank Loans|26400-N/P - Fifth Third Bank|never share|+
A26400|Projected Availability - B Base Only|26400-N/P - Fifth Third Bank|shared|+
Income Statement|Account|null|dynamic calc|+
A41200|Revenue|41200-Sales - SF - Incentive|never share|+
A43000|Revenue|43000-Sales - Duplex/Villas|never share|+
A46000|Revenue|46000-Sales - Servicing Revenue|never share|+
A43250|Revenue|43250-Sales - 2o2|never share|+
Sold, Under Construction|Total Sales|null|shared|+
Sold, Under Construction|Inventory|null|never share|+
Spec Houses|WIP Units|null|shared|+
Spec Houses|Inventory|null|never share|+
A10400|Cash|10400-Checking - Bank of America|never share|+
A10550|Escrow Deposits|10550-Checking - Escrow|never share|+
A11050|Accounts Receivable|11050-Accounts Receivable|never share|+
A16550|Intercompany|16550-Investment - Preserve at Barleywood|never share|+
A12220|Prepaid Expenses & Other Assets|12220-Due To/From - DRB South Carolina LLC|never share|+
A12440|Prepaid Expenses & Other Assets|12440-Due To/From - DRB Mid-Atlantic Inc.|never share|+
A12480|Prepaid Expenses & Other Assets|12480-Due To/From DRB Alabama LLC|never share|+
A13800|Prepaid Expenses & Other Assets|13800-General Contracting Deferred Revenue|never share|+
A13802|Prepaid Expenses & Other Assets|13802-GC-Billings in Excess of Cost & Est Earn|never share|+
A15150|Prepaid Expenses & Other Assets|15150-Prepaid Commissions|never share|+
A19650|Prepaid Expenses & Other Assets|19650-Completion Escrow Deposits|never share|+
A16350|Investments|16350-Investment - Monocacy Home Mortgage|never share|+
A21050|Accounts Payable & Accrued Expenses|21050-Accrued Interest|never share|+
A21150|Accounts Payable & Accrued Expenses|21150-Accrued Salary Bonus & PTO|never share|+
A21200|Accounts Payable & Accrued Expenses|21200-Accrued Commissions|never share|+
A23200|Completion & Service Reserves|23200-Service Reserves - General|never share|+
A28100|Subordinated Debt|28100-N/P - Sumitomo|never share|+
Retained Earning|Balance Sheet|null|dynamic calc|+
Gross Margin|Variable Contribution|null|dynamic calc|+
A41000|Revenue|41000-Sales - Single Family|never share|+
A41100|Revenue|41100-Sales - SF - Options|never share|+
A43260|Revenue|43260-Sales - 2o2 - Options|never share|+
A51300|Cost of Sales|51300-Lot Market Value Adjustment - TH|never share|+
A51400|Cost of Sales|51400-House Cost of Sales - TH|never share|+
Balance Sheet|Account|null|dynamic calc|+
Total Allocation Assets|Total Assets|null|dynamic calc|+
Deposits on Projects|Total Allocation Assets|null|dynamic calc|+
A19050|Deposits on Projects|19050-Purchase Deposits|dynamic calc|+
A16500|Intercompany|16500-Investment - Dan Ryan Builders|never share|+
A16770|Intercompany|16770-Investment - Fielding-Charlotte|never share|+
A12420|Prepaid Expenses & Other Assets|12420-Due To/From - DRB North Carolina LLC|never share|+
A13920|Prepaid Expenses & Other Assets|13920-Interest Capitalized|never share|+
A19550|Prepaid Expenses & Other Assets|19550-Utility Deposits|never share|+
A19600|Prepaid Expenses & Other Assets|19600-Security Deposits|never share|+
A16780|Total Other Assets|16780-Investment - DDDRB Investments|never share|+
A63500|Sales & Marketing|63500-Model F&F Depreciation|never share|+
A64150|Sales & Marketing|64150-Trailer Landscaping|never share|+
A64350|Sales & Marketing|64350-Trailer Removal|never share|+
A67100|Sales & Marketing|67100-Spec House Utilities|never share|+
A68100|Sales & Marketing|68100-Dues & Subscriptions|never share|+
A68600|Sales & Marketing|68600-Corporate Contracts|never share|+
A71100|Production Expenses|71100-Trailer Set Up Expense|never share|+
A73250|Production Expenses|73250-Gang Mailboxes|never share|+
A73500|Production Expenses|73500-Street Cleaning|never share|+
A73520|Production Expenses|73520-Theft Prevention|never share|+
A73800|Production Expenses|73800-Temporary Heat|never share|+
A90350|Interest & Real Estate Taxes|90350-Interest Expense - N/P D Ryan|never share|+
A93200|Misc|93200-Customer Deposits Forfeited|never share|+
A93250|Misc|93250-Admin Service Fee Income|never share|+
A99100|Total Units Sold|99100-Units Sold - TH|never share|+
A99160|Total Units Sold|99160-Units Sold - 2o2|never share|+
A99250|Total Units Started|99250-Units Started - TH|never share|+
Total Liabilities|Total Liabilities and Equity|null|dynamic calc|+
A63400|Sales & Marketing|63400-Model Cleaning & Maintenance|never share|+
A64250|Sales & Marketing|64250-Trailer Cleaning & Maintenance|never share|+
A65150|Sales & Marketing|65150-Sales Telephone|never share|+
A68350|Sales & Marketing|68350-SEO Search Engine Opt|never share|+
A63250|Sales & Marketing|63250-Model Conversion|never share|+
A71300|Production Expenses|71300-Trailer Maintenance|never share|+
A71400|Production Expenses|71400-Trailer Utilities|never share|+
A73300|Production Expenses|73300-Equipment Rental|never share|+
A73400|Production Expenses|73400-Blue Prints|never share|+
A93800|Misc|93800-Gain (Loss) on Sale of Assets|never share|+
A99150|Total Units Sold|99150-Units Sold - DX|never share|+
Total Units Started|Total Units|null|dynamic calc|+
Keystone Net Income|Keystone|null|dynamic calc|+
A49000|Total Settlement & Int Income|49000-DRB MD - Settlement Income|never share|+
TOTAL EXPENSES|Keystone Net Income|null|dynamic calc|-
A89020|TOTAL EXPENSES|89020-Office Bonuses|never share|+
A89170|TOTAL EXPENSES|89170-Employee Benefits|dynamic calc|+
A89240|TOTAL EXPENSES|89240-Telephone|never share|+
A81550|General & Administrative Expenses|81550-Office Rent|never share|+
A83050|General & Administrative Expenses|83050-Insurance - Property & Casualty|never share|+
A83550|General & Administrative Expenses|83550-Franchise Taxes|never share|+
A83600|General & Administrative Expenses|83600-Personal Property Taxes|never share|+
A84350|General & Administrative Expenses|84350-Architectural Fees|never share|+
A85050|General & Administrative Expenses|85050-Seminars & Training|never share|+
A85650|General & Administrative Expenses|85650-Business Entertainment|never share|+
A90960|Interest & Real Estate Taxes|90960-Capitalized Interest Expensed - HB|never share|+
A91200|Interest & Real Estate Taxes|91200-Appraisals & Inspections|never share|+
A51600|Cost of Sales|51600-Est. Cost to Complete - Overage - TH|never share|+
A52509|Cost of Sales|52509-Standard Cost of Sales - DX|never share|+
A52510|Cost of Sales|52510-Site Cost of Sales - DX|never share|+
A52520|Cost of Sales|52520-Building Fees - DX|never share|+
A52100|Cost of Sales|52100-Lot Cost of Sales - Purchased Lots - DX|never share|+
Variable Costs|Variable Contribution|null|dynamic calc|-
A77400|Variable Costs|77400-Warranty - Service Reserves|never share|+
Fee Build|Net Income|Fee Build Income|dynamic calc|+
Sales & Marketing|Total Operating Expenses|null|dynamic calc|+
A62100|Sales & Marketing|62100-Advertising - Newspaper/Magazine|never share|+
A62450|Sales & Marketing|62450-Promotion - Printed Materials|never share|+
A63202|Sales & Marketing|63202-Elevate - Photography|dynamic calc|+
Remaining Available|Lot Inventory|null|dynamic calc|+
A80050|Total Comm, Salary|80050-Office Salaries|shared|+
A80050|General & Administrative Expenses|80050-Office Salaries|never share|+
Total Sales Bonus|Total Bonus|null|dynamic calc|+
Sales Bonus|Total Sales Bonus|null|never share|+
Production Bonus|Total Bonus|null|dynamic calc|+
Production Auto Allowance|Total Auto Allowance|null|dynamic calc|+
Land Acquisition|Inventory|null|never share|+
Land Acquisition|Total Inventory|null|shared|+
Market Value|Land Development|null|never share|+
Unapproved Lots|Community Information|null|never share|+
Base Price|Total Sales Price|null|never share|+
Total COS|Community Gross Margin|null|dynamic calc|+
Total WIP Inventory|Total COS|null|dynamic calc|+
Assumptions Input|Assumptions|null|label only|+
401K Employer Matching|Payroll Burden|null|never share|+
3rd party Warranty|Assumptions Input|null|never share|+
Warranty Service Reserve|Assumptions Input|null|never share|+
Warranty Over 1yr Perct|Assumptions Input|Warranty Over 1yr %|never share|+
Payroll increase %|Salary and Bonus Input|null|never share|+
Office Salaries % Adjustment|Salary and Bonus Input|null|never share|+
Sr. Project Mgt|Total Production Salaries|null|never share|+
A89540|TOTAL EXPENSES|89540-Bank Fees|never share|+
A89550|TOTAL EXPENSES|89550-Legal (bank recon)|never share|+
A89610|TOTAL EXPENSES|89610-Advertising & Promotion|never share|+
A89620|TOTAL EXPENSES|89620-Taxes - Other|never share|+
VA Capture|Total Capture|null|never share|+
Units Sold|Units Input|null|never share|+
Balance Sheet Input|Metrics|null|label only|+
Stale Inventory|Balance Sheet Input|null|never share|+
Sold, Under Construction BB|Borrowing Base|null|never share|+
Sold, Not Started BB|Borrowing Base|null|never share|+
Spec Lot BB|Borrowing Base|null|never share|+
Total Borrowing Base Adjustments|Projected Borrowing Base|null|dynamic calc|+
Land A&D Inventory|Balance Sheet Input|null|never share|+
Community Information Annual|Metrics|null|label only|+
Sales Bonus Calc Method|Calc_Members|null|never share|+
A20110|Accounts Payable & Accrued Expenses|20110-Accounts Payable - Reserved Backcharges|never share|+
Settlement Proceeds Receivable|Accounts Receivable|null|dynamic calc|+
Prepaid Expenses & Other Assets|Total Other Assets|null|dynamic calc|+
A12120|Prepaid Expenses & Other Assets|12120-Due From Rycrew - Warranty|never share|+
A12280|Prepaid Expenses & Other Assets|12280-Due To/From - Monocacy Home Mortgage|never share|+
A13900|Prepaid Expenses & Other Assets|13900-Finished Lot Onsite L/D|never share|+
